question1_id,question2_id,snippet,question1,question2,relatedness_mean,relatedness_count,relatedness_list,relatedness_std
1565638102.f97d405b607c9aca212d884d340cb014.10.0,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.0,"From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.",Why did she want to run away?,Why did she want to run away?,3.0,7,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.0
1565638102.f97d405b607c9aca212d884d340cb014.10.0,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.0,"From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.",Why did she want to run away?,What made you want to run away?,2.6666666666666665,6,"[3.0, nan, 3.0, 3.0, 3.0, 3.0, 1.0]",0.816496580927726
1565638102.f97d405b607c9aca212d884d340cb014.10.12,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.12,"This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps. In most of our minds, the vagabond is a creature from the past.",Does she want to live a more primal life?,Does she experience many difficulties with this lifestyle?,1.3333333333333333,6,"[3.0, 0.0, 2.0, 1.0, 0.0, 2.0]",1.2110601416389966
1565638102.f97d405b607c9aca212d884d340cb014.10.12,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.12,"This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps. In most of our minds, the vagabond is a creature from the past.",Does she want to live a more primal life?,Why is the vagabond a creature from the past?,0.7142857142857143,7,"[0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 2.0]",0.9511897312113419
1565638102.f97d405b607c9aca212d884d340cb014.10.15,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.15,"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free,",Did she want to live in olden times?,To what extent is she a part of the community that she is photographing?,1.1428571428571428,7,"[1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0]",0.6900655593423543
1565638102.f97d405b607c9aca212d884d340cb014.10.15,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.15,"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free,",Did she want to live in olden times?,Why would a hobo be covered in coal?,0.5,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]",1.224744871391589
1565638102.f97d405b607c9aca212d884d340cb014.10.18,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.18,"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see. Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.",Does she want to experience life the way we used to?,Are there any negative sides to this part of America that no one else gets to see?,0.6,5,"[nan, 1.0, 0.0, 1.0, 1.0, 0.0]",0.5477225575051662
1565638102.f97d405b607c9aca212d884d340cb014.10.18,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.18,"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see. Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.",Does she want to experience life the way we used to?,What is a steel arterie?,0.6,5,"[0.0, 1.0, 0.0, nan, 1.0, 1.0]",0.5477225575051661
1565638102.f97d405b607c9aca212d884d340cb014.10.3,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.3,"There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom. And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries,",Is your home life bad?,What is the source of her desire?,0.625,8,"[1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0]",0.7440238091428449
1565638102.f97d405b607c9aca212d884d340cb014.10.3,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.3,"There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom. And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries,",Is your home life bad?,What borders would you dream of crossing?,0.625,8,"[1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, nan, 0.0]",0.7440238091428449
