id,excerpt_number,chunk_number,worker,type,content,wh_type,answered,highlight,prior_question,best_answer,coherence,naturalness,comment,relatedness,source,chunk_start,chunk_end,highlight_start,highlight_end
1565638102.f97d405b607c9aca212d884d340cb014.10.0,1,0,Solomon,question,Why did she want to run away?,why,2.0,one day run away,,1565638102.f97d405b607c9aca212d884d340cb014.10.1,,,,2.833333333333333,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,61.0,239.0,105.0,121.0
1565638102.f97d405b607c9aca212d884d340cb014.10.1,1,1,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,239.0,465.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.3,1,1,Solomon,question,Is your home life bad?,aux,1.0,a deep restlessness,,1565638102.f97d405b607c9aca212d884d340cb014.10.4,,,,0.625,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,239.0,465.0,249.0,268.0
1565638102.f97d405b607c9aca212d884d340cb014.10.4,1,2,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,465.0,755.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.5,1,2,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,465.0,755.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.6,1,2,Solomon,question,Do you want to live on the road?,aux,3.0,people living unconventional lives on the road,,1565638102.f97d405b607c9aca212d884d340cb014.10.7,,,,0.7232142857142857,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,465.0,755.0,495.0,541.0
1565638102.f97d405b607c9aca212d884d340cb014.10.7,1,3,Solomon,answer,She wanted to live and experience life on the road.,,3.0,lives of fellow wanderers,['1565638102.f97d405b607c9aca212d884d340cb014.10.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,755.0,1017.0,857.0,882.0
1565638102.f97d405b607c9aca212d884d340cb014.10.8,1,3,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,755.0,1017.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.9,1,3,Solomon,question,Did she want to live like the hobos and travelers?,aux,2.0,a different kind of American dream,,1565638102.f97d405b607c9aca212d884d340cb014.10.10,,,,1.2142857142857144,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,755.0,1017.0,936.0,970.0
1565638102.f97d405b607c9aca212d884d340cb014.10.10,1,4,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1017.0,1102.0,,
